"name";"state";"Women";"American Indian / Alaska Native";"Asian";"Black";"Hispanic";"Native Hawaiian / Pacific Islander";"White";"Two Or More Races";"Unknown";"Non-Resident Foreign";"Total Minority";"total_enrollment";"early_career_pay";"mid_career_pay";"make_world_better_percent";"stem_percent";"type";"degree_length";"room_and_board";"in_state_tuition";"in_state_total";"out_of_state_tuition";"out_of_state_total";"On Campus";"Off Campus"
"Hampton University";"Virginia";2858;6;71;3921;50;0;283;1;0;61;4049;4393;52700;92600;61;12;"Private";"4 Year";11778;26702;38480;26702;38480;42380;44587
"Blue Ridge Community College (Va.)";"Virginia";2501;18;92;256;337;3;3523;109;36;14;815;4388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Laramie County Community College";"Wyoming";2561;40;69;124;457;14;3456;24;156;48;728;4388;NA;NA;NA;NA;"Public";"2 Year";7200;3426;10626;7938;15138;14210;13626
"Cochise College";"Arizona";2369;31;59;200;1918;25;1909;104;109;24;2337;4379;NA;NA;NA;NA;"Public";"2 Year";7272;2550;9822;7800;15072;NA;NA
"Northcentral Technical College";"Wisconsin";2673;38;267;56;97;8;3619;44;248;0;510;4377;NA;NA;NA;NA;"Public";"2 Year";NA;4026;4026;6039;6039;16142;16629
"Northern Wyoming Community College District";"Wyoming";2020;73;28;46;241;2;3857;103;0;24;493;4374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Coastal Carolina Community College";"North Carolina";2570;72;125;756;515;47;2829;0;0;11;1515;4355;NA;NA;NA;NA;"Public";"2 Year";NA;2492;2492;8636;8636;NA;19941
"Mount Wachusett Community College";"Massachusetts";2789;21;86;315;638;3;3045;107;103;18;1170;4336;NA;NA;NA;NA;"Public";"2 Year";NA;6510;6510;12660;12660;NA;18378
"Athens Technical College";"Georgia";2836;8;93;918;217;5;2796;17;262;20;1258;4336;NA;NA;NA;NA;"Public";"2 Year";NA;3292;3292;5962;5962;NA;14688
"Central Lakes College";"Minnesota";2406;72;24;113;102;6;3811;146;56;3;463;4333;NA;NA;NA;NA;"Public";"2 Year";4000;5492;9492;5492;9492;NA;NA
"Loyola University New Orleans";"Louisiana";2695;32;143;655;541;3;2374;133;310;139;1507;4330;47900;88600;47;4;"Private";"4 Year";13380;39692;53072;39692;53072;56564;56564
"South Suburban College of Cook County";"Illinois";2973;15;46;2793;627;18;712;83;35;0;3582;4329;NA;NA;NA;NA;"Public";"2 Year";NA;5093;5093;12683;12683;NA;NA
"Stevenson University";"Maryland";2870;5;133;1267;194;8;2405;114;170;26;1721;4322;50400;91600;51;15;"Private";"4 Year";13130;36182;49312;36182;49312;53149;48543
"Concordia University (Calif.)";"California";2510;11;184;232;514;14;1970;123;1121;142;1078;4311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lewis-Clark State College";"Idaho";2610;99;39;33;215;13;3576;102;115;112;501;4304;44900;77600;60;5;"Public";"4 Year";7580;6618;14198;19236;26816;17218;18048
"Delaware Technical and Community College Owens Campus";"Delaware";2678;16;100;717;374;8;2811;109;49;112;1324;4296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cayuga Community College";"New York";2677;17;50;224;149;1;3633;64;106;46;505;4290;NA;NA;NA;NA;"Public";"2 Year";NA;5290;5290;9948;9948;NA;NA
"South Mountain Community College";"Arizona";2538;226;120;839;2039;12;573;80;372;26;3316;4287;NA;NA;NA;NA;"Public";"2 Year";NA;2580;2580;9810;9810;NA;19622
"N.H. Technical Institute-Concord's Community College";"New Hampshire";2384;14;97;112;109;2;3561;55;334;0;389;4284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Atlanta Technical College";"Georgia";2814;9;34;3967;85;4;101;36;22;24;4135;4282;NA;NA;NA;NA;"Public";"2 Year";NA;3350;3350;6020;6020;NA;10820
"University of Maryland-Eastern Shore";"Maryland";2400;7;66;2859;85;2;619;461;50;130;3480;4279;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Augusta Technical College";"Georgia";2449;19;60;2078;126;7;1773;96;104;6;2386;4269;NA;NA;NA;NA;"Public";"2 Year";NA;3494;3494;6164;6164;NA;19428
"Oregon Institute of Technology";"Oregon";1972;49;232;58;357;27;3128;214;152;43;937;4260;61200;106800;60;27;"Public";"4 Year";9058;9987;19045;28056;37114;24252;26408
"University ica College";"New York";2550;26;326;426;284;3;2689;89;293;113;1154;4249;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adirondack Community College";"New York";2437;18;38;126;135;2;3812;76;31;9;395;4247;NA;NA;NA;NA;"Public";"2 Year";11660;5375;17035;9935;21595;20515;18840
"Shawnee State University";"Ohio";2423;25;16;216;25;1;3602;68;226;68;351;4247;NA;NA;NA;NA;"Public";"4 Year";10864;8556;19420;14714;25578;23148;20022
"Wabash Valley College";"Illinois";1341;10;37;49;57;7;4016;53;5;6;213;4240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18764
"State University of New York College at Purchase";"New York";2322;6;401;363;780;2;2282;203;86;102;1755;4225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lake Michigan College";"Michigan";2524;21;45;566;277;8;2493;100;709;0;1017;4219;NA;NA;NA;NA;"Public";"2 Year";7252;4500;11752;6345;13597;19725;18261
"Evergreen State College";"Washington";2321;109;91;227;324;13;2768;314;354;19;1078;4219;NA;NA;NA;NA;"Public";"4 Year";11346;7949;19295;26459;37805;NA;NA
"Seattle Pacific University";"Washington";2853;19;430;152;334;11;2682;292;142;155;1238;4217;53600;103400;52;9;"Private";"4 Year";11796;42939;54735;42939;54735;58794;58794
"Drury University";"Missouri";2548;41;48;159;206;7;3474;84;0;196;545;4215;42600;79400;60;12;"Private";"4 Year";8096;28365;36461;28365;36461;40951;39205
"College of Saint Scholastica";"Minnesota";3009;58;113;180;86;2;3443;95;92;135;534;4204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Three Rivers College (Mo.)";"Missouri";2846;34;21;467;75;3;3495;0;104;2;600;4201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Reading Area Community College";"Pennsylvania";2637;15;75;490;1294;6;2175;94;49;0;1974;4198;NA;NA;NA;NA;"Public";"2 Year";NA;5580;5580;10590;10590;NA;27200
"Tunxis Community College";"Connecticut";2361;7;167;309;723;8;2732;77;150;20;1291;4193;NA;NA;NA;NA;"Public";"2 Year";NA;4404;4404;13172;13172;NA;20272
"Louisiana State University at Shreveport";"Louisiana";2573;22;77;953;153;5;2393;139;356;88;1349;4186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Richmond";"Virginia";2269;13;215;345;258;2;2560;137;283;369;970;4182;59800;107500;48;13;"Private";"4 Year";12250;52610;64860;52610;64860;67020;67020
"Canisius College";"New York";2314;13;73;280;184;2;3093;63;278;195;615;4181;NA;NA;NA;NA;"Private";"4 Year";11300;28488;39788;28488;39788;42288;38988
"Indiana University at Kokomo";"Indiana";2726;19;44;164;199;7;3480;100;113;54;533;4180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Whatcom Community College";"Washington";2322;31;145;54;393;16;2701;233;376;227;872;4176;NA;NA;NA;NA;"Public";"2 Year";NA;4513;4513;10044;10044;16731;18921
"California Lutheran University";"California";2390;35;238;151;975;22;1945;110;207;477;1531;4160;NA;NA;NA;NA;"Private";"4 Year";13779;42693;56472;42693;56472;61599;62736
"Owensboro Community and Technical College";"Kentucky";2455;7;35;148;65;4;3726;97;70;4;356;4156;NA;NA;NA;NA;"Public";"2 Year";NA;5310;5310;18000;18000;NA;15073
"Brazosport College";"Texas";2006;9;35;290;1492;0;2179;103;47;0;1929;4155;NA;NA;NA;NA;"Public";"2 Year";NA;2715;2715;5355;5355;NA;18646
"Victoria College";"Texas";2709;13;57;221;1825;2;1953;55;19;1;2173;4146;NA;NA;NA;NA;"Public";"2 Year";NA;2790;2790;5040;5040;NA;16718
"University of Hawaii Honolulu Community College";"Hawaii";1718;7;1748;91;421;293;350;1153;26;55;3713;4144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Portland";"Oregon";2448;7;404;41;408;63;2594;337;108;181;1260;4143;58500;104900;52;28;"Private";"4 Year";13450;45904;59354;45904;59354;62200;58360
"Arkansas State University at Beebe";"Arkansas";2338;15;31;201;195;7;3470;187;7;27;636;4140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pennsylvania State University at Erie";"Pennsylvania";1449;1;141;152;111;1;3310;58;73;291;464;4138;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Stetson University";"Florida";2326;16;94;288;564;1;2751;124;88;211;1087;4137;47000;86000;44;7;"Private";"4 Year";13052;46030;59082;46030;59082;63282;63282
"Western Technical College (Wis.)";"Wisconsin";2318;32;152;62;84;21;3608;101;70;0;452;4130;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"St. Clair County Community College";"Michigan";2432;41;17;123;127;6;3577;60;168;8;374;4127;NA;NA;NA;NA;"Public";"2 Year";NA;4440;4440;11190;11190;NA;NA
"East Mississippi Community College";"Mississippi";2391;11;14;1895;57;1;1995;83;71;0;2061;4127;NA;NA;NA;NA;"Public";"2 Year";4800;3440;8240;6440;11240;12855;15161
"Belhaven University";"Mississippi";2815;23;20;2253;144;7;1155;61;366;85;2508;4114;41200;74300;60;2;"Private";"4 Year";8500;25300;33800;25300;33800;35450;32950
"Texas State Technical College at Waco";"Texas";844;19;38;591;824;14;2412;9;205;2;1495;4114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Saint Mary's College of California";"California";2499;13;414;212;918;24;1817;221;416;77;1802;4112;59900;110800;51;5;"Private";"4 Year";15370;47280;62650;47280;62650;67168;66585
"University of Northwestern Ohio";"Ohio";867;17;10;146;98;6;2746;3;989;96;280;4111;NA;NA;NA;NA;"Private";"4 Year";2850;10650;13500;10650;13500;23980;23900
"Everest College at Phoenix";"Arizona";3025;85;7;1807;313;19;1297;153;421;0;2384;4102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Davidson County Community College";"North Carolina";2608;33;70;730;257;3;2862;82;65;0;1175;4102;NA;NA;NA;NA;"Public";"2 Year";NA;2435;2435;8195;8195;NA;16514
"Tiffin University";"Ohio";2294;5;18;620;103;5;1718;91;1229;311;842;4100;NA;NA;NA;NA;"Private";"4 Year";10600;25000;35600;25000;35600;40200;40200
"Arizona State University -Polytechnic";"Arizona";1131;85;222;147;746;17;2292;134;30;421;1351;4094;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Strayer University -RTP (N.C.)";"North Carolina";2918;22;31;3018;149;4;601;131;131;5;3355;4092;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Jacksonville University";"Florida";2714;14;70;607;277;8;2057;113;807;132;1089;4085;50100;90400;66;5;"Private";"4 Year";14080;36670;50750;36670;50750;54868;58626
"Concordia University at St. Paul";"Minnesota";2575;28;226;392;123;3;2817;110;241;141;882;4081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Capital Community College";"Connecticut";2846;5;173;1508;1088;4;799;79;417;2;2857;4075;NA;NA;NA;NA;"Public";"2 Year";NA;4404;4404;13172;13172;NA;18204
"Saint Xavier University";"Illinois";2803;12;112;668;920;2;2073;71;202;13;1785;4073;49400;91200;60;10;"Private";"4 Year";11340;33880;45220;33880;45220;48436;45706
"Texarkana College";"Texas";2576;30;57;1007;292;5;2525;121;14;10;1512;4061;NA;NA;NA;NA;"Public";"2 Year";NA;2720;2720;5870;5870;10914;17303
"Ohio Christian University";"Ohio";2527;16;23;1107;90;0;2053;78;673;18;1314;4058;NA;NA;NA;NA;"Private";"4 Year";8076;23306;31382;23306;31382;33532;32956
"Georgia Piedmont Technical College";"Georgia";2494;13;85;3166;102;6;541;87;16;34;3459;4050;NA;NA;NA;NA;"Public";"2 Year";NA;3454;3454;6124;6124;NA;16302
"Gordon College (Ga.)";"Georgia";2744;3;41;1559;144;5;2165;110;12;8;1862;4047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bethune-Cookman University";"Florida";2377;4;9;3580;115;8;78;77;89;84;3793;4044;NA;NA;NA;NA;"Private";"4 Year";9412;14814;24226;14814;24226;29876;31464
"Shepherd University";"West Virginia";2402;26;74;321;111;3;3382;35;69;20;570;4041;NA;NA;NA;NA;"Public";"4 Year";10500;7548;18048;18048;28548;21903;22798
"Fairmont State University";"West Virginia";2255;15;18;214;76;3;3472;96;35;106;422;4035;NA;NA;NA;NA;"Public";"4 Year";9004;7514;16518;16324;25328;19518;19518
"Rogers State University";"Oklahoma";2518;510;49;94;181;4;2412;709;15;56;1547;4030;41400;73800;48;11;"Public";"4 Year";8616;6870;15486;15210;23826;22324;26300
"Vance-Granville Community College";"North Carolina";2629;52;28;1454;261;7;1975;109;111;28;1911;4025;NA;NA;NA;NA;"Public";"2 Year";NA;2409;2409;8169;8169;NA;15342
"Johnston Community College";"North Carolina";2603;30;25;663;455;8;2474;45;321;0;1226;4021;NA;NA;NA;NA;"Public";"2 Year";NA;2497;2497;8257;8257;NA;18956
"Hill College";"Texas";2412;23;33;257;866;11;2669;111;37;13;1301;4020;NA;NA;NA;NA;"Public";"2 Year";3850;2970;6820;4120;7970;12857;18381
"Sandhills Community College";"North Carolina";2573;176;47;878;354;10;2348;92;101;10;1557;4016;NA;NA;NA;NA;"Public";"2 Year";NA;2446;2446;8206;8206;NA;20188
"Niagara University";"New York";2497;23;69;218;149;0;2770;69;250;467;528;4015;NA;NA;NA;NA;"Private";"4 Year";13200;33180;46380;33180;46380;49830;49280
"Lawrence Technological University";"Michigan";1022;13;925;234;100;1;1871;0;638;233;1273;4015;57900;108400;49;60;"Private";"4 Year";9950;33570;43520;33570;43520;49428;49428
"Southcentral Kentucky Community & Technical College";"Kentucky";2399;7;25;335;125;2;3375;90;46;9;584;4014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Zane State College";"Ohio";2019;16;10;110;14;1;3170;135;553;0;286;4009;NA;NA;NA;NA;"Public";"2 Year";NA;5070;5070;9930;9930;NA;14764
"Bismarck State College";"North Dakota";1731;57;21;110;89;3;3519;107;89;7;387;4002;NA;NA;NA;NA;"Public";"2 Year";7794;4790;12584;6785;14579;14676;14676
"Calvin College";"Michigan";2211;16;173;94;129;0;2978;111;67;425;523;3993;50200;91100;54;23;"Private";"4 Year";10200;34600;44800;34600;44800;48900;48900
"University of West Alabama";"Alabama";2801;18;6;1769;59;2;1771;39;184;141;1893;3989;42700;76100;61;4;"Public";"4 Year";8116;10040;18156;18490;26606;21841;21883
"Danville Community College";"Virginia";2208;11;26;1320;104;5;2440;53;18;5;1519;3982;NA;NA;NA;NA;"Public";"2 Year";NA;4710;4710;10008;10008;NA;19706
"State University of New York College at Potsdam";"New York";2293;72;66;299;365;4;2762;101;244;66;907;3979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baldwin Wallace University";"Ohio";2215;4;58;327;189;3;3173;136;29;60;717;3979;NA;NA;NA;NA;"Private";"4 Year";9554;32586;42140;32586;42140;47528;48506
"Bethel University (Minn.)";"Minnesota";2496;5;133;226;104;2;3286;87;99;37;557;3979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"West Hills College Lemoore (Calif.)";"California";2434;37;235;201;2214;10;1042;106;106;25;2803;3976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lakeland College";"Wisconsin";2335;32;113;152;132;4;2784;40;656;60;473;3973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Manhattan College";"New York";1791;7;151;138;701;0;2121;72;645;135;1069;3970;NA;NA;NA;NA;"Private";"4 Year";16200;43480;59680;43480;59680;62128;62428
"Moody Bible Institute";"Illinois";1697;4;114;231;184;7;2334;76;638;379;616;3967;NA;NA;NA;NA;"Private";"4 Year";11820;13565;25385;13565;25385;27080;25740
"Central Carolina Technical College";"South Carolina";2667;6;28;1730;114;2;1933;35;115;0;1915;3963;NA;NA;NA;NA;"Public";"2 Year";NA;5760;5760;9630;9630;NA;14788
"Alliant International University at San Diego";"California";2659;6;268;231;942;13;1516;204;525;252;1664;3957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pennsylvania State University at Abington";"Pennsylvania";2112;7;621;489;349;9;1934;78;306;159;1553;3952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University S. Air Force Academy";"Colorado";878;17;174;232;400;22;2566;241;244;56;1086;3952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Western Nevada College";"Nevada";2329;100;63;57;709;29;2691;122;179;1;1080;3951;NA;NA;NA;NA;"Public";"2 Year";NA;3158;3158;10070;10070;NA;19618
"Yakima Valley Community College";"Washington";2511;64;25;58;1843;7;1743;182;25;3;2179;3950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Madonna University";"Michigan";2759;11;47;512;125;4;2492;60;103;593;759;3947;NA;NA;NA;NA;"Private";"4 Year";9950;21900;31850;21900;31850;35670;36504
"Francis Marion University";"South Carolina";2769;11;47;1778;56;2;1904;38;45;63;1932;3944;NA;NA;NA;NA;"Public";"4 Year";7948;11160;19108;21544;29492;24854;24852
"Arcadia University";"Pennsylvania";2822;7;181;361;206;5;2639;123;325;92;883;3939;NA;NA;NA;NA;"Private";"4 Year";13800;43580;57380;43580;57380;59980;65472
"William Carey University";"Mississippi";2636;17;119;1096;59;0;2500;0;50;95;1291;3936;41100;71800;61;6;"Private";"4 Year";6810;12600;19410;12600;19410;22694;22694
"University of Hawaii at Hilo";"Hawaii";2378;20;806;46;457;391;896;1129;13;166;2849;3924;44000;77200;59;14;"Public";"4 Year";11406;7720;19126;20680;32086;20530;30482
"Western New England University";"Massachusetts";1761;10;147;234;273;2;2752;42;351;111;708;3922;56400;103000;44;21;"Private";"4 Year";13590;36804;50394;36804;50394;53759;51139
"Albany State University";"Georgia";2698;6;9;3450;45;2;265;22;97;14;3534;3910;NA;NA;NA;NA;"Public";"4 Year";8878;6726;15604;19802;28680;19133;21975
"Iona College";"New York";2104;9;82;308;742;6;2211;60;379;112;1207;3909;NA;NA;NA;NA;"Private";"4 Year";15278;38812;54090;38812;54090;57440;57440
"Pennsylvania State University at Altoona";"Pennsylvania";1764;2;120;326;192;3;2966;83;44;167;726;3903;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Northwest-Shoals Community College";"Alabama";2154;31;13;437;138;2;3133;4;120;13;625;3891;NA;NA;NA;NA;"Public";"2 Year";NA;4695;4695;8565;8565;NA;17226
"Jefferson Community College";"New York";2310;21;44;257;369;14;2887;124;134;30;829;3880;NA;NA;NA;NA;"Public";"2 Year";11666;5424;17090;10176;21842;20940;20940
"Southeastern Oklahoma State University";"Oklahoma";2102;698;37;208;154;7;2155;522;0;97;1626;3878;45000;80500;53;15;"Public";"4 Year";6970;6750;13720;15390;22360;17430;17054
"Caldwell Community College and Technical Institute";"North Carolina";2172;70;58;198;185;4;3265;19;70;7;534;3876;NA;NA;NA;NA;"Public";"2 Year";NA;2356;2356;8116;8116;NA;13312
"Clarkson University";"New York";1184;10;122;77;170;1;2992;73;109;319;453;3873;NA;NA;NA;NA;"Private";"4 Year";14908;49444;64352;49444;64352;68112;64238
"Palm Beach Atlantic University";"Florida";2496;12;105;519;649;12;2270;104;56;138;1401;3865;NA;NA;NA;NA;"Private";"4 Year";10120;31450;41570;31450;41570;48914;48924
"College of the Mainland";"Texas";2260;17;116;624;1036;9;2038;17;1;0;1819;3858;NA;NA;NA;NA;"Public";"2 Year";NA;1773;1773;3873;3873;NA;13211
"St. John Fisher College";"New York";2368;9;143;185;160;4;3148;64;122;21;565;3856;NA;NA;NA;NA;"Private";"4 Year";12400;34310;46710;34310;46710;NA;NA
"University of Arkansas at Monticello";"Arkansas";2302;17;23;1051;130;5;2485;72;54;17;1298;3854;43500;78300;61;2;"Public";"4 Year";6824;7696;14520;13546;20370;18812;20362
"University ion U.";"Tennessee";2423;11;65;753;86;3;2515;40;330;43;958;3846;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of North Carolina at Asheville";"North Carolina";2157;13;60;124;170;2;3155;128;154;39;497;3845;NA;NA;NA;NA;"Public";"4 Year";9106;7145;16251;23868;32974;20189;21289
"Cumberland County College";"New Jersey";2367;50;32;895;1095;35;1713;0;19;5;2107;3844;NA;NA;NA;NA;"Public";"2 Year";NA;4500;4500;8700;8700;NA;20818
"Western University of Health Sciences";"California";2315;9;1234;105;406;9;1564;220;220;75;1983;3842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Southeastern University (Fla.)";"Florida";2138;15;56;520;590;16;2244;21;317;55;1218;3834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Casper College";"Wyoming";2224;16;29;46;197;10;3308;55;142;21;353;3824;NA;NA;NA;NA;"Public";"2 Year";6880;3072;9952;7584;14464;13132;14252
"Cape Cod Community College";"Massachusetts";2387;23;77;200;259;7;2831;167;252;2;733;3818;NA;NA;NA;NA;"Public";"2 Year";NA;6330;6330;12510;12510;NA;16728
"Cardinal Stritch University";"Wisconsin";2453;18;76;842;293;8;2253;71;129;121;1308;3811;47000;82500;51;2;"Private";"4 Year";8440;29998;38438;29998;38438;44130;42547
"University of Hawaii Maui College";"Hawaii";2425;16;1039;39;408;407;811;1024;8;57;2933;3809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25980
"Fort Lewis College";"Colorado";1846;887;24;31;388;8;2065;227;108;53;1565;3791;48300;82600;55;19;"Public";"4 Year";9878;9040;18918;19696;29574;25428;24172
"Porterville College";"California";2277;26;117;42;2852;2;661;82;5;4;3121;3791;NA;NA;NA;NA;"Public";"2 Year";NA;1404;1404;7824;7824;NA;20575
"George Fox University";"Oregon";2136;24;133;68;263;19;2673;172;272;162;679;3786;51200;89600;52;8;"Private";"4 Year";11250;36020;47270;36020;47270;50270;50270
"Lake Erie College of Osteopathic Medicine";"Pennsylvania";1721;2;817;151;219;10;2491;82;0;0;1281;3772;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mendocino College";"California";2304;205;105;120;964;23;2251;59;42;0;1476;3769;NA;NA;NA;NA;"Public";"2 Year";NA;1420;1420;9160;9160;NA;19864
"Eastern University";"Pennsylvania";2594;17;75;1012;420;4;1830;17;261;126;1545;3762;NA;NA;NA;NA;"Private";"4 Year";11254;33122;44376;33122;44376;49461;44647
"Philadelphia University";"Pennsylvania";2480;6;176;528;232;3;2172;74;311;260;1019;3762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of St. Francis (Ill.)";"Illinois";2815;11;94;325;447;8;2696;84;35;62;969;3762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Coastal Bend College";"Texas";2342;48;22;83;2174;3;1074;152;91;112;2482;3759;NA;NA;NA;NA;"Public";"2 Year";5100;2646;7746;4956;10056;13700;17007
"Howard College";"Texas";2338;6;32;144;1668;4;1783;80;12;27;1934;3756;NA;NA;NA;NA;"Public";"2 Year";4834;2560;7394;5420;10254;13245;16580
"Ridgewater College";"Minnesota";1966;10;26;132;255;2;3147;104;73;4;529;3753;NA;NA;NA;NA;"Public";"2 Year";NA;5429;5429;5429;5429;NA;19185
"Northshore Technical College Sullivan Campus";"Louisiana";1830;12;30;965;81;7;1811;36;805;5;1131;3752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clovis Community College";"New Mexico";2437;22;60;182;1180;17;2039;54;191;0;1515;3745;NA;NA;NA;NA;"Public";"2 Year";NA;1296;1296;2904;2904;NA;14990
"University of Mary Hardin-Baylor";"Texas";2191;21;59;485;604;10;1986;82;89;404;1261;3740;NA;NA;NA;NA;"Private";"4 Year";8446;28750;37196;28750;37196;41426;41426
"College of New Rochelle (N.Y.)";"New York";3323;12;67;1710;490;10;330;22;1085;14;2311;3740;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Point Park University";"Pennsylvania";2098;9;53;633;148;2;2591;139;8;154;984;3737;NA;NA;NA;NA;"Private";"4 Year";12200;31450;43650;31450;43650;46090;37720
"Lincoln Memorial University";"Tennessee";2368;10;177;186;13;0;2907;64;328;50;450;3735;NA;NA;NA;NA;"Private";"4 Year";8000;22010;30010;22010;30010;36880;34470
"Spring Arbor University";"Michigan";2655;18;31;441;107;6;2803;71;235;21;674;3733;NA;NA;NA;NA;"Private";"4 Year";10010;28810;38820;28810;38820;41400;41400
"Baker College of Flint";"Michigan";2346;17;20;735;80;7;2706;123;38;0;982;3726;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"St. Mary's University";"Texas";1962;23;95;142;2060;10;873;8;161;340;2338;3712;52900;95300;61;17;"Private";"4 Year";10270;30650;40920;30650;40920;45320;38950
"University of Phoenix-Florida";"Florida";2008;7;35;1003;571;10;644;190;1118;129;1816;3707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Southwest Baptist University";"Missouri";2362;27;42;150;51;4;2605;46;771;0;320;3696;NA;NA;NA;NA;"Private";"4 Year";7720;24010;31730;24010;31730;35298;35462
"University of Nebraska Medical Center";"Nebraska";2372;10;175;61;122;1;2914;43;67;303;412;3696;53400;93000;79;6;"Public";"4 Year";NA;11558;11558;28898;28898;NA;NA
"Ohio Northern University";"Ohio";1889;4;56;113;40;3;2875;105;267;232;321;3695;54400;103900;49;22;"Private";"4 Year";11650;32260;43910;32260;43910;47711;47711
"Lanier Technical College";"Georgia";2251;14;85;343;429;6;2746;38;5;29;915;3695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13094
"Shenandoah University";"Virginia";2365;53;269;411;182;12;2409;0;178;179;927;3693;48700;86600;57;7;"Private";"4 Year";10370;32530;42900;32530;42900;47000;47000
"Arizona State University -West";"Arizona";2273;84;194;194;971;10;1976;114;36;113;1567;3692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"John Carroll University";"Ohio";1870;2;62;186;110;0;3091;77;74;86;437;3688;51600;97300;39;16;"Private";"4 Year";11874;41340;53214;41340;53214;57464;57464
"Newman University";"Kansas";2406;45;180;140;362;7;2739;93;37;84;827;3687;48000;88500;66;11;"Private";"4 Year";8326;30724;39050;30724;39050;43988;46300
"Clover Park Technical College";"Washington";2370;30;274;552;256;75;2019;187;264;25;1374;3682;NA;NA;NA;NA;"Public";"2 Year";NA;4271;4271;4271;4271;NA;19480
"Norwich University";"Vermont";745;14;85;200;249;12;2785;144;142;41;704;3672;57000;99100;51;20;"Private";"4 Year";13840;40016;53856;40016;53856;58054;58054
"Pierce College District";"Washington";2155;24;172;146;341;47;2228;285;395;33;1015;3671;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alfred State College";"New York";1444;8;38;333;222;3;2916;70;24;47;674;3661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lake Washington Institute of Technology";"Washington";2186;15;324;111;271;12;2211;166;485;65;899;3660;NA;NA;NA;NA;"Public";"2 Year";NA;4879;4879;5313;5313;NA;19698
