"name";"state";"Women";"American Indian / Alaska Native";"Asian";"Black";"Hispanic";"Native Hawaiian / Pacific Islander";"White";"Two Or More Races";"Unknown";"Non-Resident Foreign";"Total Minority";"total_enrollment";"early_career_pay";"mid_career_pay";"make_world_better_percent";"stem_percent";"type";"degree_length";"room_and_board";"in_state_tuition";"in_state_total";"out_of_state_tuition";"out_of_state_total";"On Campus";"Off Campus"
"University of Illinois at Urbana-Champaign";"Illinois";20271;39;6121;2186;3384;47;21777;1049;576;9961;12826;45140;62600;115300;44;36;"Public";"4 Year";11308;15094;26402;31664;42972;30102;NA
"University of Washington";"Washington";23369;233;8702;1093;2917;160;21015;2407;1580;6677;15512;44784;NA;NA;NA;NA;"Public";"4 Year";12798;11517;24315;36898;49696;NA;NA
"Broward College";"Florida";25988;84;1305;14638;15053;133;9047;742;1757;1360;31955;44119;NA;NA;NA;NA;"Public";"2 Year";NA;3540;3540;11190;11190;NA;27994
"University of Michigan at Ann Arbor";"Michigan";20886;80;4974;1742;1933;21;24810;1268;2783;6014;10018;43625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Southern New Hampshire University";"New Hampshire";26293;152;337;2373;1009;33;10846;60;27213;1251;3964;43274;NA;NA;NA;NA;"Private";"4 Year";13120;31136;44256;31136;44256;51538;51166
"Valencia College";"Florida";23884;144;1898;7490;13965;190;13600;1020;4039;871;24707;43217;NA;NA;NA;NA;"Public";"2 Year";NA;3366;3366;12828;12828;NA;16493
"University of Wisconsin at Madison";"Wisconsin";21611;109;2181;961;1948;42;30435;1040;571;5311;6281;42598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Southern California";"California";22112;73;7696;2238;5286;104;13922;1380;2045;9709;16777;42453;64500;120600;47;23;"Private";"4 Year";15395;56225;71620;56225;71620;74825;74825
"University of Arizona";"Arizona";21891;517;2392;1402;9405;95;22050;1608;1071;3696;15419;42236;56100;101000;51;23;"Public";"4 Year";12550;12487;25037;36386;48936;29217;29317
"University of South Florida";"Florida";23382;87;2662;4298;7412;107;22006;1303;821;3242;15869;41938;NA;NA;NA;NA;"Public";"4 Year";11610;6410;18020;17324;28934;NA;NA
"University of California at Los Angeles";"California";22106;66;11257;1229;7066;114;12824;1825;1042;6422;21557;41845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Excelsior College";"New York";22707;250;1287;8954;3837;240;24624;1080;1010;245;15648;41527;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Florida State University";"Florida";22645;116;1029;3377;6594;59;26466;1063;647;1875;12238;41226;50800;92700;49;18;"Public";"4 Year";10816;6516;17332;21683;32499;22168;22168
"Austin Community College";"Texas";22778;335;1955;2991;12388;77;18704;1132;2064;1303;18878;40949;NA;NA;NA;NA;"Public";"2 Year";NA;2550;2550;13020;13020;NA;NA
"University of Houston";"Texas";20184;47;8118;4173;10994;97;11855;1218;387;4025;24647;40914;56000;103900;50;24;"Public";"4 Year";10270;12506;22776;27956;38226;23225;24617
"California State University at Northridge";"California";22133;65;4379;2166;15855;92;10379;1289;2400;3506;23846;40131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Purdue University at West Lafayette";"Indiana";16548;57;2076;1202;1575;31;24244;768;719;9080;5709;39752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Texas at Arlington";"Texas";23733;107;3704;5602;8186;106;16153;1144;319;4419;18849;39740;NA;NA;NA;NA;"Public";"4 Year";10302;10250;20552;25134;35436;NA;NA
"California State University at Fullerton";"California";21162;68;7905;813;13722;75;9485;1527;1603;2930;24110;38128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Maryland at College Park";"Maryland";17580;47;4995;4206;2914;29;18654;1242;1210;4313;13433;37610;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of California at Berkeley";"California";18851;79;11172;886;4529;81;11519;1566;1655;6078;18313;37565;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Temple University";"Pennsylvania";19476;62;3819;4466;1987;40;20664;850;2947;2650;11224;37485;NA;NA;NA;NA;"Public";"4 Year";11916;16970;28886;29066;40982;33004;35994
"California State University at Long Beach";"California";20989;213;8091;1443;13293;158;7722;1636;1611;2642;24834;36809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Texas State University";"Texas";20852;109;819;2931;11606;55;18983;1163;576;497;16683;36739;NA;NA;NA;NA;"Public";"4 Year";9374;10935;20309;23385;32759;23130;23130
"Brigham Young University -Idaho";"Idaho";21136;91;246;136;817;126;20074;1450;9943;3741;2866;36624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of North Texas";"Texas";19297;154;1881;4197;6873;41;17907;2801;374;2258;15947;36486;NA;NA;NA;NA;"Public";"4 Year";9727;11250;20977;23700;33427;24712;24868
"University of Alabama at Tuscaloosa";"Alabama";19816;138;394;4067;1214;32;27486;885;144;1687;6730;36047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"East Los Angeles College";"California";17706;67;3461;1476;24235;62;2320;126;3552;713;29427;36012;NA;NA;NA;NA;"Public";"2 Year";NA;1404;1404;8934;8934;NA;21164
"College of Southern Nevada";"Nevada";20061;231;3385;4240;9534;653;12911;1712;2875;402;19755;35943;NA;NA;NA;NA;"Public";"2 Year";NA;3458;3458;10370;10370;NA;19608
"University of Missouri at Columbia";"Missouri";18717;69;798;2553;1165;15;27060;886;462;2417;5486;35425;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Cincinnati";"Ohio";18910;63;1145;2517;985;38;24903;736;1833;3093;5484;35313;NA;NA;NA;NA;"Public";"4 Year";11118;11000;22118;26334;37452;NA;NA
"University of Georgia";"Georgia";20276;37;2859;2805;1637;37;24567;1052;464;1739;8427;35197;54400;100700;45;14;"Public";"4 Year";10038;11830;21868;30404;40442;26688;25126
"Texas Tech University";"Texas";16152;113;850;2011;7075;39;20965;1053;247;2805;11141;35158;56800;106500;54;22;"Public";"4 Year";9530;11045;20575;23495;33025;24472;24472
"Capella University";"Minnesota";26432;196;507;12301;2228;141;13889;713;4916;170;16086;35061;NA;NA;NA;NA;"For Profit";"4 Year";NA;13788;13788;13788;13788;NA;21128
"University of California at Davis";"California";19508;78;10377;705;5697;145;11398;1715;823;3570;18717;34508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Iowa State University";"Iowa";15145;80;940;891;1451;31;24843;672;1547;3980;4065;34435;56100;101300;48;31;"Public";"4 Year";8720;8988;17708;23392;32112;21186;21186
"North Carolina State University";"North Carolina";15044;128;1679;2212;1392;27;22910;961;957;3723;6399;33989;NA;NA;NA;NA;"Public";"4 Year";11078;9101;20179;28444;39522;NA;NA
"George Mason University";"Virginia";18123;72;5001;3153;3420;122;16371;1209;2245;2136;12977;33729;58900;105700;48;23;"Public";"4 Year";11460;12462;23922;35922;47382;30284;31868
"San Diego State University";"California";18661;87;4183;1162;9783;81;11723;1977;2103;2384;17273;33483;NA;NA;NA;NA;"Public";"4 Year";16735;7488;24223;19368;36103;29318;26380
"University of South Carolina at Columbia";"South Carolina";18198;79;881;3438;1309;30;24351;1057;359;1467;6794;32971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"San Jose State University";"California";16238;44;10381;1029;7407;242;7112;1559;1359;3580;20662;32713;63000;114700;53;28;"Public";"4 Year";16442;7796;24238;17300;33742;29193;27974
"St. Petersburg College";"Florida";19729;123;1083;4474;3637;84;21431;761;856;232;10162;32681;NA;NA;NA;NA;"Public";"2 Year";NA;3443;3443;11697;11697;NA;NA
"Georgia State University";"Georgia";19208;62;3386;11875;2651;27;10788;1335;926;1506;19336;32556;50600;90800;47;18;"Public";"4 Year";11378;10858;22236;29432;40810;26014;25062
"University of Colorado at Boulder";"Colorado";14310;107;1617;512;3042;24;22878;1236;692;2324;6538;32432;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Boston University";"Massachusetts";18765;27;3448;1190;2419;34;14642;868;3072;6412;7986;32112;61400;113600;43;25;"Private";"4 Year";15720;53948;69668;53948;69668;72618;72618
"University of Utah";"Utah";14028;126;1590;401;2718;171;21498;989;1218;2804;5995;31515;54800;102600;57;22;"Public";"4 Year";10262;9222;19484;29215;39477;24472;25190
"Colorado State University at Fort Collins";"Colorado";16136;154;821;703;2862;33;22596;845;1430;1910;5418;31354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University ah Valley U.";"Utah";13973;223;356;277;3134;274;25033;623;690;722;4887;31332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Virginia Tech";"Virginia";13241;41;2508;1234;1516;36;20735;1177;964;3013;6512;31224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Louisiana State University at Baton Rouge";"Louisiana";15969;82;1086;3496;1632;29;22194;697;198;1630;7022;31044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Portland Community College";"Oregon";16624;318;2125;1775;3181;178;18720;1655;2177;800;9232;30929;NA;NA;NA;NA;"Public";"2 Year";NA;5408;5408;11483;11483;NA;21679
"Virginia Commonwealth University";"Virginia";17863;84;3615;4798;2002;51;16093;1282;1251;1672;11832;30848;49900;88200;52;18;"Public";"4 Year";10428;14490;24918;35138;45566;32041;32041
"University of California at San Diego";"California";14102;43;10443;388;4493;94;7755;1370;791;5332;16831;30709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Indiana University -Purdue U. at Indianapolis";"Indiana";17235;35;1294;2945;1557;21;21625;957;335;1921;6809;30690;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brigham Young University";"Utah";13680;112;593;157;1685;178;25208;1029;358;1164;3754;30484;NA;NA;NA;NA;"Private";"4 Year";7628;5620;13248;5620;13248;NA;NA
"University of Tennessee at Knoxville";"Tennessee";15415;73;1020;2161;883;0;23162;744;1001;1342;4881;30386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Florida Atlantic University";"Florida";17277;57;1318;5678;7255;36;14031;924;260;738;15268;30297;49400;91200;51;15;"Public";"4 Year";11896;6039;17935;21595;33491;24235;24889
"South Texas College";"Texas";17130;14;260;89;28206;16;871;59;663;2;28644;30180;NA;NA;NA;NA;"Public";"2 Year";NA;3800;3800;7700;7700;NA;12654
"Santa Monica College";"California";15818;55;3095;2743;11564;73;7732;1190;379;3327;18720;30158;NA;NA;NA;NA;"Public";"2 Year";NA;1444;1444;11164;11164;NA;18706
"University of California at Irvine";"California";15558;24;10872;545;6454;114;5971;1190;656;4225;19199;30051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University at Buffalo";"New York";14116;88;3322;1726;1435;21;14311;525;1952;6615;7117;29995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27758;27758
"University of Iowa";"Iowa";15461;50;1056;853;1730;26;20118;630;1794;3713;4345;29970;54100;99400;48;16;"Public";"4 Year";11172;9267;20439;31233;42405;24239;22947
"Santa Ana College";"California";11251;75;2427;424;15180;88;6331;413;4387;265;18607;29590;NA;NA;NA;NA;"Public";"2 Year";NA;1418;1418;10208;10208;NA;21120
"Kent State University at Kent (Ohio)";"Ohio";17641;69;448;2303;814;18;21353;790;1028;2654;4442;29477;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"College of DuPage";"Illinois";15730;65;2951;2224;6402;73;16126;594;789;252;12309;29476;NA;NA;NA;NA;"Public";"2 Year";NA;4080;4080;11790;11790;NA;24259
"San Francisco State University";"California";16905;65;7888;1378;6737;186;6960;1588;2426;2237;17842;29465;NA;NA;NA;NA;"Public";"4 Year";15151;7260;22411;19140;34291;27480;27480
"California State University at Sacramento";"California";16743;126;5910;1608;7794;248;9165;1785;1919;794;17471;29349;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ohio University";"Ohio";16965;43;355;1488;754;21;23337;821;555;1843;3482;29217;NA;NA;NA;NA;"Public";"4 Year";11830;12192;24022;21656;33486;NA;NA
"University of Kentucky";"Kentucky";15420;55;807;1989;1031;26;21777;770;997;1751;4678;29203;51700;96400;48;19;"Public";"4 Year";12982;12245;25227;29099;42081;30101;30101
"West Virginia University";"West Virginia";14076;42;545;1232;935;25;23350;867;131;2048;3646;29175;NA;NA;NA;NA;"Public";"4 Year";10918;8856;19774;24950;35868;23294;20716
"University of North Carolina at Chapel Hill";"North Carolina";16481;133;2410;2304;1895;70;18549;1326;846;1602;8138;29135;NA;NA;NA;NA;"Public";"4 Year";11190;8987;20177;35170;46360;23811;23811
"American River College";"California";15759;227;3095;3014;6034;259;13524;1707;1118;155;14336;29133;NA;NA;NA;NA;"Public";"2 Year";NA;1416;1416;9546;9546;NA;20490
"Mt. San Antonio College";"California";14944;50;5040;1263;17451;82;3504;859;299;497;24745;29045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oregon State University";"Oregon";13420;172;1901;395;2101;98;18505;1653;859;3202;6320;28886;56200;104800;53;34;"Public";"4 Year";12855;11166;24021;30141;42996;26892;27339
"Harvard University";"Massachusetts";13969;56;4227;1485;2263;28;13136;1046;1762;4788;9105;28791;74800;146800;54;19;NA;NA;NA;NA;NA;NA;NA;71650;NA
"Washington State University";"Washington";14728;169;1497;896;3077;100;18000;1863;1138;1946;7602;28686;55900;103700;50;20;"Public";"4 Year";11398;11581;22979;26365;37763;27484;27484
"University of Massachusetts at Amherst";"Massachusetts";14148;47;2166;1100;1365;16;18404;644;2743;2150;5338;28635;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Texas at San Antonio";"Texas";14091;59;1485;2471;13849;55;7890;831;311;1677;18750;28628;NA;NA;NA;NA;"Public";"4 Year";11578;9900;21478;24262;35840;NA;NA
